amount,address
62835832, terra10ascruk04ggjdja7l27sla0egupg0rqa6l39s2
36402979, terra10ayl5fvsnd3kcyehe2w5p4nusk62cycfe6n5ee
3247508, terra10c34nw7deydyjstxvr6tyhylghw8uvx88rap5z
0, terra10c3eeuk25lnaj9ga3y3aqxc3tn5cprmg9dxp8a
0, terra10c77qqju5l9udv599pjwuhg4t5ym6hhu0m3new
5397891, terra10cav4s87clvwact3vey36ywm0uea9zyvutygan
0, terra10cchne078npsa0hced664laun05sjsy9fp54z4
0, terra10ccnc2qul7l58a9gcf58alc5jzqy8ck9gn9k7p
631573897, terra10ce3664e52thvut6ytd0ctma59v0t9yfjtwyfz
0, terra10cejecurfh49q3wpxl8ar3g2wv4t0cz4c6qd6a
50080143, terra10ceucazcvm4aka33sv0jlvu93u54sgs5e8pl9r
548052928, terra10cjyj3va06e4nthqgcfjtfghlqmw4mnvavm0lg
18473049, terra10clzxga2qhkykpmf8ljqvqv442hcgap5wvucxg
507215632, terra10cmqkth9y0yw9etp5pp2gwznyg4je9j2kgga0d
0, terra10cswmc457hqsq55edlyjjtfv4e0y6e0thcf4g6
176572652, terra10cxhuj9efaw0s0fea3yfdjdrqy44cnn2jca0ak
380514648, terra10d4g36fz834dy64zh8c0pl9z8edvzkhccj002q
5967255, terra10d53c8kjll5xuvucr3hwjhwx9g54y6xskel6m2
1883391829, terra10daty845flyvzl29uvsh4pwcnc4ff99fj77q55
0, terra10dawxjdvl5v36fzn84t9p4gh7u7ly5vmqwxdkh
0, terra10dgkdfm6lcywp4u0kp6cs33fptzsz2rsm023yt
0, terra10dhctkvm8jmejvty6w6za6avgn0atzf06k4y3l
19999315, terra10dlmjztf2aj9lt7ajsrnff2dlzzahwddcyne59
32147543, terra10dmk7yn7rnppk4xegmyukphvpau08ytjca539m
141749061, terra10dqalzxm6u0skk5umcwahgy66x3qna2xcs96p6
6722342, terra10drgz0p0nmzepjazyxzmmyjr708k8q5swuds3s
59978660, terra10e0epp7wgkz9za9k6razndzusf7m05nxymzhr0
67610613, terra10e2ggmva6a7npscs7sj83zxvyc2k95kpf4gke4
0, terra10ef4efde03ege270dss7gr697c9vnn78dlu0y3
18472443, terra10ek2sg4m6tan0y9ge35h0sg39kge22cn6u6xc9
0, terra10ekdqr9pflcczcn07ssgvrxjm7te932ph9ycyn
18454085, terra10ekh5kq7h8mya9fcrjw505pqgarpamk8mn0rf4
0, terra10en80k02zw67e5rk0epnm0q7hmueq2nzln26tk
0, terra10epul476m7wufraudp0rpxrfsy5kc9mzqanyt3
0, terra10eqgf4q80t8x4uk8kpke4mhtpyx5vpdel86qyh
18472856, terra10erfw32ywmua2ue7j8a3fa6d3fms92e52upmhj
0, terra10eurh67387lkerr3ldjngkzm236aa4756tdjkr
2271204472, terra10f5qu9gctrksxp4xpend3gxl68tzu0pq6tr865
0, terra10f9km4al59s53yr7fjsnvph5ggxfjuduge3a43
