TxHash,Block Height,User Address,MARS Claimed,MARS Claimable
5CDCA1E1E69AE7B26D4F5A5220300E24E7FF5E24EDFE7D0E1D907D821904ABD9,7811119,terra1nqzh3rdjq2nj3a8v2fwvz0x8e6rfnkh9ney8pc,0,63828536
E85FDF26994A54A99B03BC147CCC2387390ACA99456810C8C5D7253018315075,7810970,terra1x5pwqh5awpjmur6u5heda2sg62fvr2n0xaygv9,149058660,0
41879808CA4D51F434F7718F43FF0A7B48BC0E6D1BAC2811EAC1F769E26F3C60,7810848,terra189mhpmj55ghtctvefun5952wd6mcg5wcq9l7ud,299029296,0
C2DA6E1A3EDFAC42654AA6B9128A9B45717EC2461CF05594622DDE0B43C203BA,7809883,terra1r39mjwj2tldtvwt8k8uwtwnqp5egaqzf9wk9wv,666415728,0
3B2A4C32E5A63FCB180EEF2213A6859C10CA36D51AF6277CCD77687109456046,7809781,terra1fwkqmeezjlu5qsgqt4cypaxn22sfta8rpvdu65,120696917,0
0805C87B465F956D7956FAE9B80CE7F6DB85E16B79663A47ACF87963CE61DC01,7809490,terra1xm6wzamelul63nv3ej0qualtdpek3hft0angkc,1001224743,0
C776DBEEF7A573801366785D2992EEF663E1CDD4B71981C24D359320E4C77B13,7809200,terra1wrymx2d0mtxs6kfhljc9z4l8me3jc44m6e52d6,2052218146,0
860C22FBB528F79417C238994E14FD71AC4F9C7EF475AD1663CB9D6A3FBAC8EA,7809014,terra1mdhw6rneu3myp5e2fj8pts4fggwpm9765em6sq,80417190,0
E1BBD4BBBBC4638F5EC04CC84BB23EDFA5A89495E0E3F1BF6F140D24B27D0154,7808986,terra1u9u8t2gaj8h7r3u2nsclkgh8ue6fgyeeqygsqh,28029121114,0
DDCB8C07DC6587F7CFA181EDFC6A630FFE67E2E9174553A1BE35D8DB8C556BE3,7808682,terra1qefxd255ezq54mg0u600n7zjt0g7n2c8m4l32x,1000000554,0
C5A10FEC921D6D5918AB709D6B101E1D690F2AE0FCE6C086AF3324B50BC94CD8,7808374,terra1ufsp59x2ry5y6d3wzfeqqgcqfe945pemm73vjv,7664847385,0
A5E1A4A9E132DF27811A4C14C074CD20468E57EFAD52FFEE14ED18E1ED20132A,7808250,terra16s8zp9ezs0cdacscwmam59ylpfzfkvlhtu53qx,2212881293,0
7F1DBE7BF78EB8FD59C427A5DD69D4EE98E157F824B3EF6C0ACA066091CFA53F,7808169,terra1zna3sv7qpdl77fm0f0rzpy65cne2492fxltple,0,498534993
F5FABE08BA519AF5A58AE89CC72ADCA13EA0F691ABF20AC7D7E7DB5A258D452A,7806113,terra1qgflsn03yq4x9cjk0dsdlzfmw9dhr7teuf6tlc,0,18514363
6C18D34F454F3CF67D3DE1461A2E76BE541B3E2077EB3042946E38E209219C67,7806039,terra1xdv0ajeuqurts30nkcsu649m3hquuvvtyzdmae,0,15024569
FE5863CE0273E39EF9EDBEE436F13D60237CC0C2EC07423EDEBBCEC16B801B5E,7806031,terra1wtdczk46v05ydup7ea0trvfqw0u68qhfl8fslu,122188327,0
665527E241409782CE7B32720BB4345B227AF3D115BAAD53BB8F937353AC7CE4,7805839,terra15yk88ufx8p2cx73jf8xrp492gt7z3w0svjzxl9,0,20226968
C2C9E6F2F6EE57A664C9E5AC07D39EB9065762420D5E3AB9BAB47A8DDE907256,7805566,terra1lerc02fzxwgv2zppz6xwpgk26yd8z2hltn6k9u,140084805,0
2C9463E554FE8A8DD9538903E210563B122671EB48B3765B3E0650660372CD5F,7805503,terra18w777rvq6r7lhpp3xcxchw00fpu222ws9acc0a,4031242811,0
E31437CBB546C9FF073D6D0FA80CFEB3AFFBC90F30ACF4BF3F589E59B134A12E,7805067,terra1dhzrt0np72k0hwttm47fyyzvdvamhmv7248kmj,0,616573048
0DC8229C8A662E6980CB09ED9569FC1054133B0A349AC08863BFDDB10BAEF105,7804883,terra1r67wsz5y7d62fhlm5cam8pd6klmg6dzh0pkl4w,1220203913,0
F400A0CFF25E558777D0DCB95865A8E51244B4ABA869B8AA47C86149C47A9E7F,7804118,terra1a7gkx4vkze7cku3zns4t503jqyvjdf5l7mwjum,2350868522,0
369BA65D20748A00721B68CF398687C3226660EA46B4A2CF998E74D39055B494,7803736,terra1pp8lh5cx8df3wcfveaznqndmlpz5a0egq39xxe,0,17978430545
1DD918CCD48BB5A9F547E2813BAB50D7F5E51394DAEC56CEF4A91B8C2E9C4CFD,7802444,terra1wz6rtj74j9wuzjv3vf0dtr2yv900wm43d4qeet,13648696381,0
D5808EE9C5AE7DA7361500225FB39447346F36D55C2D272C766C9D85180B211A,7802233,terra1hrz5zrwwzwca0kyfywptes9lu25d9w9wu6dm6s,6301280,0
EF5091F1C0A50E6041CA177519B6544AAC47FD49D5B13AE430A12E191B7A7507,7802063,terra13zj2q79ssptv8sml2t9790ekfte24tlxl7deyl,9798617902,0
B78B127979C8BDA478AB621FDC9F953DF87BED692E99B54F477501AF12CD19FC,7800760,terra1p9ncxu7uptxneuh8rp458jtjr0w0cw0wjxjxzw,0,1737254291
932FCC01F6EC3B337E52073EF3168141B900604BA14D4742DE83028BF647C181,7800402,terra1gf5lfrstxcv8764x35360tmf62d0gewzkc0zpv,11291920294,0
4C21128D84005EF4CC5CD21029DD3E215CE63CE425817563C5D3A3AB96E71C2E,7800307,terra1jwn3x3675hu2uupsdpv6rca6dtqfphwuzs3zme,416376373,0
F287ECED4B8C0CE8181402C111D51CC8671763230FA645DC13E0DE58D5DCA598,7800069,terra1u8vqy4u93rh34sytjcs0ljufgadk8vs9mqv3ju,1503828063,0
181564C011AFF36F347DD9413AE3A17F217E8EAB606A5AD7B74AB87F54DB3DBD,7798284,terra1nfl62cv0m24ufw4a0mt0hpjnpwcl7scsldavfz,0,5011157
82BD9876C16A00BB04D482D84112C31DD33E5CEF2128E65558F48434E0EFF7F2,7796559,terra120ndvmup55vvcwvmsuxy4h4lv9dmgs9hklkudk,674261881,0
D309AC02B792E5CAD97428555C6C20237C0BA1382B7B8BBA7D2AB3A10A713C90,7796349,terra1hlk8jh5d4vcgpd7lclnfuq02gwm07qzl7qr7f4,0,140115695
B1C4BD269F7727D52E7454DBB3468648E6C8248230DF4696AB7266766C40C83D,7796187,terra150c34alc54n9yed07le80awcp6r3da99kkt9y8,18513761,0
AB5E182B653EDB17C5A5417630E1960480F0B5A14BA3EFCE338675C747FF8E1A,7795909,terra17yv20veehnuztnng6whx2vplvelc39zlcjuuc9,7825000173,0
0248C77DE5B5102737C155682075CD210E5AFFF61DCA0816CC1B3975FDDB98EB,7795546,terra1vl6hnpl0zg5h6u7waqlqfa5e375j06cc8l0333,0,507136662
960A2847BB5AB3C8C7962948427C7C946CC9A64A912062CDDDCD5E54E861BF00,7795542,terra1vl6hnpl0zg5h6u7waqlqfa5e375j06cc8l0333,2663671025,0
1DDEF7B56626124465FD9B307F1D67049F04233821925C05B603F70C1E0624CF,7793759,terra1nwv7yc2vyemp27dnct8jdxn7q2qf3kr8n8em4l,0,3286130872
00C7A9DD247C8B77E7A68796D98B9A957D20A0E03B63BF115477E44CB752B72B,7793284,terra1gvjy44dmjjx2mdztfrzck2p4hknwvttssjm0qy,18512257,0
89DE0D57CC5DF62367480DD82AF04E4BE3F6D470E434C22334F35F3BCAF4AD69,7793232,terra1fylnjs3ryt0p54e0uarrvluy8ejs8kllrewg2w,2499134563,0
05CAE174F247273BB5B727281688B361A01B64100D1D5699B313D1AF03A523DA,7792826,terra1h89rrqwmrvnze4nq7cqpu8e5qdt63y5la7dnsn,0,41809808
6720171282821F09664AB65D8C9EDAFCDAABD7FBB60353F0EE81F4FAC6951705,7792783,terra1hftt75cflcxv32p09a5eqlw7yywa265fd7kyz6,0,152119452
EAC3596FF17D91418ED99543C196231DA584571623AA975A7438E63BD32250DA,7792739,terra19yxjfvnm3ye4v7unlcwehdgrj2trm7jjlz3g94,0,353234336
D79D07F37E175C8A8793ACF70FC3C85284CAAF7DEA264D2C45DCC6BAC5799CE8,7792683,terra1ux4qsfwsqgtxe0fcfk7lz3ju4ysegeqqsptrvk,0,26444771
CE858F766FED5AC06B2C75F4ABEE4AEFE759C091A58AC82735C746ED87829ED0,7792562,terra1cyrhsr0kjckshae3735zhjqtk30d4a4pmjd9r6,714755733,0
E66A3BC3924133AD729D89054D2C311D71F5147360A009B976E0E89F4CB72288,7792536,terra1y6ea79fqc2wwcnrnjvme2q7rwdpgccdwpw0spr,0,410394910
AFBC09D954F1BA6845491110A5BF41AA8121B196A68A75F7BF2C2088375DCE11,7792450,terra1k7wrmppe2dl5jerlpu3nlucqgudk8s3ngx48py,0,810404294
B15937C81DE2D8C8A70B89811315D868AB91ECC86384E23EC76FF3CC2302412E,7792316,terra1j93vjp4xel7ffc8hqdr5tsgg7kwc4up7640nun,0,8435020
01C7284C3D970F12F0D3D30E3C783E54E1E5937C82E81852E6D8F81F98D2E960,7792265,terra1lyukkckrypkvk4lhavkv4n7ulcvsfnmc4e7xkm,0,373786678
2A3C71FB7B453E33072E7BC509D48BE4A336B18CA19F3DFA17B442EC0289FA7F,7792053,terra1r3ykhxvzamk7x2wly9vflfhxhfptc25drr4edj,349290561,0
1EDC09AB5035D23A36010E8A67BC4A7C2E838D099071E924EFDD4C22518298B4,7792015,terra1x8xh5daqjnwm99chwqwsphlteq88gr9sh6qtf3,0,193395584
827CF37042E30DC686F397D95D90DF71FD17C2D83E788E7EA3EEB7BB6D90DE87,7791956,terra19ky02epmd2h88g4hms8hdlyf4hx9ujujkfrcl0,305259845,0
8D162409E4A69AD5763272AE518B333A2E871976A0DF8C2A98321E24529E6C3B,7791924,terra13vqlfe0lf6wukt0nxy49548af8eqxf02d3htap,0,1211274249
029AA2FFC2EBDC2B3B732356B411A07D7992561DC728C8A40ECD1E5004771912,7791877,terra1tsa9whxqtyd7wk4064v7y64437he0q40d90uz6,0,173403925
C763F39A8D364901C3C80D1DD8E9A8DD2889FEBB78ABB9C91B46C66008EAF726,7791796,terra1ea9jjsrq0vsp9949kk5q25mjctn5yawaxdheky,309980515,0
D0E32E90F3520862FBC1FF2B486FEDE8321FE585352CC05F9F8D793BAA17642E,7791388,terra16vyq50e37gchexe4z6penrr9rkdzwny5j33wmg,0,114518824
5458A644903DE067799B9D3E95309F82ECEC9B7C78FEB55BA07C810F414B8ADB,7791256,terra1l0tn4qr8v645dqtyeymsafufx056e3mw6mgtlc,76744469788,0
ADA90DB3C7BECCFEC689432F08C0DCFC7D1ED5700BEAE407B759E6C270BE3BBA,7791243,terra10z6wp2k4edmah6h82tlas3splwh0h2p7xedgkc,344788735,0
812B046227E4892CD49407FDE4652E3B1A2FA019FB772B1F148563D1AB659D72,7791113,terra1w0unssnyy9dphf2drmxsxedd55srskp2hghmkt,123518177,0
55BE8F17341E539CD6E1374E950D3B040D9C4830FE979024C21CF67E9B720D66,7791000,terra1kxln7cd8r29taqgtgtgta95nd54asy4kf53z39,1003211444,0
89F1909DEA26BB51D8DF1726B323155BF3881F4207D3DC63B72A04955F7C37EF,7790920,terra1y2vczqzn3ekv8h4kypjvuqppgq8a6njaha48jq,0,229337699
1EFCF48D2BED14726A664C5F9A08A61EC1FEDCD346006D21C12E98AE3D9CEFBF,7790852,terra1cj57xs623sser7h8gn7t43vcughcggmnpmu54r,0,132388361
52C9C391724940D707AA135F24758FC0D2235EE56D084C243A2869B24B9597A6,7790771,terra1cwxv5rxj9qvuqy67775t7vnynks8gw5jpehnam,132658560,0
BBBD3E1DEEB0FF863F2EC20AD087E0D6BCC14BF49CA13C584F4828A9F606C65B,7790532,terra1acp2rn4fw2fglycgmy9ggpy7u4a4l08fv0rvj7,0,50120594
44A6BA2E79C1C8CB1C688128FA414FFC0C103FEEA6518554304D18EC1445FC72,7790464,terra155qs5st94a5m9k9240lmjfzxes2tljzk5py7fs,5622754700,0
63A62FFA3BEACE512CB4DD7E2C1A34AD04A011926899660D5EB7A4EE596FC8E5,7790447,terra1gd9rqluzpcnz7e6074hqfe0yhycvtcl9vdr2y2,0,955445177
03A400B9A6D17E0ED1CEFBF850B759F88A5EB9E9D291BA512B88DC2ADBA6A1B2,7790371,terra1uszeuyp2sqxhpctna4fyl4lhyxcwphdq5dvrkd,0,48417297
259197144FC2F04834D3B309388D232F3882BD60E5DC58392879AB1223A53197,7790369,terra1j5d00s3x2gcg4g6avqh0hdwaehqamedeumwqny,123974449,0
4465572DFF9CC35569FB8199FC62BDE444FD97E86B16A1E24304147D34208DC4,7790346,terra1lwfew67fwfrd2e6vp9374pmmfur56npr5ghcn6,505686439,0
113343BE2DECAD76C7222F1209C26A385FD283F23DB1D461F275D8DC0921F581,7790312,terra1k7qluuuswr6tgzq3va5skvlcdnpflrluxwd2aj,0,1969768443
E78DC5F5C0B92B3D1DA30316D9F920DDD3E68D63D147F9C9D4DB15A5C5148783,7790247,terra15j5qvyc4gu8n2lff6h3erl59rkdy5fdxdcnfgr,0,1513660626
1DC52988833CADC22B57BAE7766F3060114C91ED75008D7E9FFE8FBF09E4911A,7790226,terra182vvhxz328vmc4v35e8lq0nw5t009nzgyseumd,344829022,0
CCFE982405D1F09DD08E150B24F36AC64849E3F9A2B7DAEE66E796BAB2502847,7790204,terra1ptvt7990hdrhvpe7rgw2a26mzeeqxtguhn5yq7,0,260600715
