amount,address
0, terra1043pyv3p9kw5dc6zsrlx0c6s9z02fgurlsx4l0
0, terra1044a3kwr9kx667758y603hzyq6ne7kt4dvzlk8
32928088, terra104568sfgk3t25gra8m2fkknn0mjd0wvxhg68ux
7140, terra1045905xydkc9hygeewcgauj2a33teeuu9mkssm
59342790, terra10465kka86fslf9dgqz8l2fx0wd4kztyack554f
0, terra1047tmvf7xyu4cfd2vtx0c8u43nnqm7ry525kh4
18473222, terra104803ywm5nypy672vvamctzlh7rfmd560q06gr
0, terra1048gyhzptenxuwt5h4sngddej74vsq0rf300zw
85000000, terra104a7fl0dlpt0mvrtn20zwenjgru95cywdutfhc
0, terra104ava5leef4qst8pcmdldm66zsf22wsxej2qwj
0, terra104ccnfnqe3g60hh95aq3am86qjth2gq0ydy4hr
700680658, terra104d00jgefw5g27ylk3e083sr8j9zjynn366d43
0, terra104d8vhjcyay7c80haraewfwtjys5kfmk4m25xw
2658687874, terra104dnzgzzx7hjt32sml9zspqfmvr7fdae8l6vy8
0, terra104h0che8ulk0wggmnmsheev8k764nxsv547yc7
88056736, terra104kx4pe3cxamz6ley5xxprd534p70y4yedc0hz
0, terra104mllsltujn09mtxscucsaem3f2xmpfhjmvd4a
0, terra104pap3zzf74v5ek67sx3xtx47jsvmff442gj2s
0, terra104peglpmdcwmpgc0d5fym03tjw3g67lr6xruej
0, terra104ptne03kv9kj9402lw0qzare8hxttqsz2l5ae
0, terra104qj7xf5rjjnthugmqkgxuv3xz7dvf64c38wdv
0, terra104qrqgvedudnskn7h2fmz78cx2j6u3zew7jzdg
18473222, terra104r6rxmyjx0dj3dcyrysasw2wwnxjqkjzsqnt9
0, terra104rf00n0cr0a08vgtxkqm0dzerzydyamt0qcls
0, terra104t5x74d0t4vhzrcw6j9ssksq4njyrwd8j2fqy
30667152, terra104t884zkl453es6y4ctzr9axw8q6x9jp5ktjld
0, terra104tnjc0xv9f3tugd04ynfu79exp6yh0zzwgs67
291342424, terra104tv7aq40r6mljppxdzxwd7jdyfmjwvcts8s54
8525292, terra104u8s2d3se2v42ahjuhhkczt23qyvgkat3j26e
0, terra104ua20uurtaazfqvc30xmqdahd5yjk5tgj6u4m
36324299, terra104ufrlfgj5akzf7l50gj3f3mxwv9dfu3x8csw0
14621160, terra104v8zhxl5vtva02m26r4l368wgfj0mgpf7emdw
274090092, terra104vawevz48w26ag23f4rnvagpwkyyhff8erh5d
69705, terra104wjsgcntz7hxmlsxfpw060zmx7humd48n3yxt
29567149, terra104y0eegkvkj2snl749ntvfhtlm4cyu6nra990w
18473222, terra10503qsukwgkz7lcrwtsar4twttprm2pd4v77a6
0, terra1052ajzc5z80e76qtxm8syyqcu0v03759x93dr4
0, terra1052qasaud9grjydlu9dm8dglm75dueq5egnnn5
4550804, terra105366vajqnfpx0e9a8573ehus9daw7yr7kn5qq
433982439, terra1053k5ycsq8jgup56gllrr4hy6umdw3h90sjr0w
0, terra1053pzzlgy46lqgyss62ez0e6xzl8x6lf9dy5n2
9464133, terra10548pxjw5shcu59evl737exkukutmh43m4uxw2
0, terra1055srnl0h43zq2sr8ch880k4dpjl6fmwhtvt88
0, terra105629wch2qa2u9yrpqkffrn5ywewyuv6z7zfe0
17184848, terra1056duuzwxq39k8tl2tgzykqgnavwctpsjsm4yu
957393254, terra105723g664j6lmnhtlcatuggq79wv7rajmzpdaw
10598, terra10599z5nxwk4fjvez9ca6d3j9zwxfqpprq2jy6w
0, terra1059exrq68y46hs996pfk2l9lc0pwa53yvmexd5
0, terra1059tc049f4ts3src3kyh9n2yvps5xh0p86rtch
0, terra105a0pqhvk0r5a6jl6pacjy57sxnf6awgef8gwv
64602184, terra105a46rnwuyttkth7caph4ddmpnw0tsytyz3gpd
0, terra105aygxc5ethqdt9rvnz2ajud8w6lfvgn5yce25
0, terra105dhd6qnlaz7as68jtwn5j66jyfr645nfh9qv3
0, terra105gqy3vxaqq2ak0h8fpu4re6vehh73fafd77rs
149837321, terra105jcx3sj783x3pn82nzg2xfszweu8vxcruutjf
76096, terra105nuhhrxr6cfls3n4pe6xsqw2ehu96eqae209k
0, terra105pgsryrveze6fhrg5p72yhzerjcq88zg4tjl5
0, terra105scql9yzvc60zgymhzraj2tlt8504gh4jpx78
0, terra105sjw5rl74m8hzeth0k4nfdgjl056eygwhqude
0, terra105tlvecvhdmsrld7d6vgt2f7p5ta8590mlrqzv
28888879, terra105tp4yld90fgypuy5x5wjkv9d8jv3lwjz0wsne
0, terra105u4s4dwgczgfseeurrcgfzr8g7x4h02juerjs
46613012, terra105u5h25u9755l80f9hmq4fh3svd2uv9fqr9ede
0, terra105uny4nyw500x6yjna296euad9svm9nt85ct0w
0, terra105vvl7xkx80zf85mvu9xcyu8gzfrey3we60cl4
88164797, terra105xc9wfdj4egldww4a6ngetwslwjwhhmcccupt
0, terra105xgdqcpe3uhgk9hjhj2rk5ex8umua6kfry580
0, terra10608z0q88j6k0xxwew7hh5eg8hla0hxch3cf6x
4452, terra1062lwkvprzygh5uqxmk6qxnmrp87d8u8vty3xe
29172121, terra1062vg8jzm6wm47zplttezp7u9gsknaxljv5lj2
25447062, terra1063k5pa0a286zvkjqttvhyuv4rgpanragt8v3s
18473222, terra10645xsfdrgphxya35wekzygc76fjdxny52y25y
0, terra1065ve852m84zpfrj680d0egagqz64hzljtgx87
294253825, terra1066nc4ffm6vsdqd2rdr5nm72r2pcpe6005cxqn
0, terra1066pzwyphyt66jjc4a5et8d3fh3ah4fy59updr
0, terra10673ghdxc0869md59wjyjhtvd2glqvemdxalgl
710392, terra10683sccpz2qx4wnh84wng8hytdvd7pn4jqel46
47567639, terra1069upaxg5sujxpgahf9hhm808mfjheumq2c29v
0, terra106a0pxjxrpv99jt00ket0th4tuc5e07elsa8qd
6361, terra106d6uur2llm2vcrl5jfjqzrrrugezx9w893zfs
0, terra106edzaplufe95paqct49lrl79cfd5v2mxtz23k
0, terra106fpja406lxj3vfcjezr68g86xyfsz7885e5vr
4655982652489, terra106htgurux879drvjy5tzp8l7ydcnytmhpj7yr3
2812674572, terra106mp9lvy7sgawk9pu4tqp9cq48gkzxk4dxp7j5
24394471, terra106mu6agqll424x8g660q9u7cdcn5s3r0mlcqtc
7556, terra106nj669z5tg974h8gsaa6v6p5q6lq3drwwl7n7
18473222, terra106nl00pukcx0jalkx86nt6nn9wz6yq36p5pwqn
0, terra106nsj696vjmuln5zjfks3p0vlxsylza8fycfmt
0, terra106nyprxug0vsx0qhxm5arnjjuqj6emnr2yn5nw
0, terra106pullfffej0qxnrq9g3a8zkrggylm327w3rrp
0, terra106qrf6cttac5secgqtufv3rlv8fy4d0pnhplsc
1810057, terra106s5ucf3h7e7klhgv6wlw7jcxcjhjyu7tyt0ez
203020715, terra106vr3zqhxjpwg6zy5n9pgnyakklqfsrugrwqwp
0, terra106vvdwsuu4adtam7kutzegqks2g8qz3uuwypky
1830573923, terra106xeplp82km5xl7zk8afrvl84n9ks3hpjjl2pq
0, terra106yv8xst87aecamc4nqvswh9fqk05k7w9n0ymj
118972741, terra106zxm05fuj9dajsqx0e9gdw3km032udz2ay7ux
456, terra10722g7rusnv85wuujx7pwvgu7lg2f9a5dm9k3u
0, terra1072cc3w28vlra0m5qe07xfmfv265sksx4t46vw
754806593, terra1072q7txl66nc5zfyexe0wk3m6w05jy88arnra4
0, terra1072y465zufm9u6c0hgwkcf6zf3l40nldnt4pav
0, terra1075ckt7uyegxtgfjltpx7mrcydtp23jnteur5e
0, terra1076c50m7v39klxjanhda0ew3elau0ee5vtc7ps
0, terra1077ptrmznztlyvh8wskvngf999cmh7y2r7lmum
0, terra10783wlx5gla2jusx7ar84tzplsuflhn73us332
507883337, terra1078frwkwtj2rg8e9vkrfgeqkvw7mr9hx6pryvx
0, terra10797xl48yrwenpmjuetk9hsu6946etzzlfyapj
0, terra107982u9v0dsmgwmkvat8r5u9gahuj9neav3q8k
17901891, terra1079l3gzhlnyg4puwax48a4sn7mxd55u73wmy6f
15176470, terra1079trvpc0f3tjwfscheufqswlsyphr502qxd6r
0, terra107c0hunpms5mpnyf8cjja5q9jemwr42fvn880y
0, terra107cxdjpfsmfgy3t78cpqtpu7mqe3c6j59hlahg
1051, terra107cyn22vc9l7w60juc8m5u6ey4ur9g6jpjclaq
0, terra107dfmacrf2vuu6h7sjta7srpz45xple5z5jfnr
18473591, terra107exk8ulclsph530suykwue20gav09qqa9m55f
0, terra107f34xhsfcfxxe9ye93g3ayggzdrxzw66w6565
0, terra107fzu22nrr92auedushpnesg398l44u8lnh9xm
56654117, terra107ht3h83n5lcplu53977dj5c72tu9cjhn6sjpn
20960441, terra107jamu4qurkjaah6nmsuxgnxce4dsj220uq3yc
18473222, terra107lvmdqfm3qd9l96xm3wv67sunj3jm70cufv2q
0, terra107lyftyg7ps9d3v2p4cnguvw4kaxmx760a66z2
0, terra107p30w0mm0m3sgq9ewgtx4mnv4ssu6fru705x8
0, terra107pegmzz4cv8jmdudyshmwzlsx69ww236f0pd0
0, terra107ryaeuhx5a6hmmg7tz9jxdey7ll72et9g3004
15090730, terra107skzrma4dx8s6jnkn08v77ylhk7qwd8q3s9j2
0, terra107sum7pshxzhk8ax0uh823fra2er3snprn423a
0, terra107t2f5wxaxkew533yt696dajw9t8gkrfwsrqgj
0, terra107tahud7zrudls5868pexzwks2peyaxr0t4kz4
0, terra107wch9qm3r5285xqwkcv2nyux3mfj6m6l3lt9p
30832473, terra107xwfv758mw0hg77cdkk9td54yncrusgvtr93l
6946, terra107yn98la2f9g0leyq03p0dtl76tpjz9jyusc3v
0, terra10800p9fprusa55skxy2qlwf9dtsd0765nh3mmn
1112467256, terra10808lqrhwvd9lk0gjyvsjmhnxzcc4kz6j09tj6
0, terra1080kxm63vu6tlk2nxrlukgnmr04wmuvl7mhcqy
0, terra1080yfsf7428amks9vgq0u03lp6s8jng3ev2uk5
0, terra1082cu9f4c2gks6fcr2malkywc0at60me2s9gyh
68385963, terra1083gllq4cd4ag9cynqn54t383zpang4s5swm2m
0, terra1084gjjcndwmmtejd8x3gvp7l9lk7r25xshz0vt
4559772997, terra1084v4rjhac65r92w3d4j08d3geklpjk36eq554
0, terra1085qx9z4hrwgeew3phuw6zrs9y7gcedn0dzjy2
0, terra1088g522fjmrtz2q5tg4cy0m9jmjqqjwypn6sqd
