User Address,MARS in Cooldown
terra102xrq94nyp8yh2u23c54lvdx82z6dqyedrfduf,3698103636
terra104tnjc0xv9f3tugd04ynfu79exp6yh0zzwgs67,3007596506
terra10800p9fprusa55skxy2qlwf9dtsd0765nh3mmn,1719236677
terra10c3eeuk25lnaj9ga3y3aqxc3tn5cprmg9dxp8a,841828765
terra10en80k02zw67e5rk0epnm0q7hmueq2nzln26tk,678806631
terra10epul476m7wufraudp0rpxrfsy5kc9mzqanyt3,3054365305
terra10f9km4al59s53yr7fjsnvph5ggxfjuduge3a43,563447945
terra10gkz5g2n6ldhgng4j202w9n2up03h3wx26fhgu,2169595272
terra10gq0mqfqw8xrled0jkhj775fwtxpuq2u99v6yt,4379457210
terra10kp5m8k98u7jza8959dz9eak4yukc5gphudxf3,966463460
terra10ktchl60gk4f3gxktpgert3qdt9696ty9jsl5n,18477009
terra10p7tj0xjkjrgw8pu4unw06dzasmwr9tm43gjlu,340528673
terra10phwf9jde4w27na60jn5mtznrc8vq5v5aycryt,516406
terra10reah606h3zxmv467suplnv7xhglgqfqd09zsh,248229736
terra10s7t3nammv6929kwm7uw3z238gjlpuhh7c8txq,2402974059
terra10snsalpnt7waet8ry37hvp6lw9fy2anv6qsqey,106127452
terra10tv6kn75xt063k8vy37vm7qeud6p70sgq5tcxq,1154038193
terra10wrrhj0kf2yalunn4efxaqfasrmg9xrnseh8sf,448319113690
terra10yxan7x3ug0cd8qaev849edm4ajy9zfe0pm3xa,9176512512
terra10zfr089hkjuj7a5nrydv6gwypmmsy32krz7f0a,18787050
terra12377hxl772al8cea3rzj6vdgzvflpu59gncpws,14189190
terra123l5667k2awxsm2hcvgepvlh0fydw36327nw38,108995709
terra124r8setl7leswaftyelmcj7vfdxy5e5nknrmj7,999999
terra1252u8yqheu83n4xcdtvt6vt34q68uh2us385de,5128985119
terra128h7ua8gea4ftnl2h9xwy3tnd3suxmf8c27s3p,18474018
terra129vpfan7506cnxtt6ztn4gxufqa08s7g4tt28u,23153813
terra12c0gsdpjl5cwnxe3gsm930d2dluael84epkf09,299373996
terra12cy5qf32h8xedmvfhy48xp3dfeqzlndp8lyt0d,37610714
